,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1857,LY75,MREG,SACM1L,RNF25,LYAR,ATG7,THAP6,FRG1,HIGD1A,FNIP2,SEC61A1,NAA15,PGRMC2,MRFAP1L1
1858,PLA2R1,XRCC5,LZTFL1,TTLL4,NSG1,VGLL4,G3BP2,SDHA,SNRK,NAF1,RUVBL1,AC097376.2,JADE1,BLOC1S4
1859,ITGB6,SMARCAL1,FYCO1,CYP27A1,STX18,TAMM41,USO1,PDCD6,ANO10,TMA16,EEFSEC,RAB33B,SCLT1,KIAA0232
1860,RBMS1,RPL37A,LTF,CNPPD1,JAKMIP1,PPARG,NAAA,EXOC3,ABHD5,TMEM192,GATA2,SETD7,ELF2,TBC1D14
1861,TANK,IGFBP2,CCDC12,RETREG2,MAN2B2,TSEN2,SDAD1,BRD9,TCAIM,MSMO1,RPN1,MGST2,NDUFC1,GRPEL1
1862,PSMD14,IGFBP5,SETD2,ZFAND2B,MRFAP1,MKRN2,NUP54,CLPTM1L,ZNF445,DDX60,RAB7A,SCOC,NAA15,SH3TC1
1863,IFIH1,TNS1,KIF9,ANKZF1,AC093323.1,RAF1,SCARB2,LPCAT1,ZNF197,DDX60L,ISY1,ELMOD2,AC097376.2,TRMT44
1864,GCA,ARPC2,KLHL18,GLB1L,S100P,RPL32,SEPT11,MRPL36,ZNF35,CBR4,CNBP,ZNF330,MGST2,WDR1
1865,FIGN,AAMP,AC099778.1,STK16,MRFAP1L1,IQSEC1,CCNI,NDUFS6,KIAA1143,NEK1,COPG1,INPP4B,MAML3,ZNF518B
1866,GRB14,PNKD,PTPN23,TUBA4A,BLOC1S4,NUP210,CCNG2,ICE1,TMEM42,CLCN3,HMCES,USP38,SCOC,RAB28
1867,COBLL1,TMBIM1,SCAP,DNAJB2,KIAA0232,HDAC11,CXCL13,MED10,ZDHHC3,HPF1,H1FX,GAB1,TBC1D9,BOD1L1
1868,GALNT3,CTDSP1,ELP6,DNPEP,TBC1D14,CHCHD4,CNOT6L,NSUN2,EXOSC7,GALNT7,H1FX-AS1,SMARCA5,ZNF330,CPEB2
1869,TTC21B,USP37,SMARCC1,GMPPA,GRPEL1,TMEM43,MRPL1,TENT4A,CDCP1,HMGB2,MBD4,ANAPC10,USP38,FBXL5
1870,STK39,CNOT9,DHX30,CHPF,SH3TC1,XPC,BMP2K,CCT5,LIMD1,FBXO8,TMCC1,ABCE1,SMARCA5,FAM200B
1871,CERS6,ZNF142,MAP4,OBSL1,WDR1,LSM3,ANTXR2,MARCH6,SACM1L,CEP44,PIK3R4,OTUD4,HHIP-AS1,BST1
1872,NOSTRIN,BCS1L,NME6,STK11IP,ZNF518B,SLC6A6,RASGEF1B,DAP,LZTFL1,HPGD,ATP2C1,ZNF827,ANAPC10,CD38
1873,SPC25,RNF25,PLXNB1,EPHA4,CLNK,CCDC174,HNRNPD,OTULINL,FYCO1,SPCS3,MRPL3,LSM6,ABCE1,TAPT1
1874,LRP2,STK36,TMA7,FARSB,RAB28,FGD5,HNRNPDL,OTULIN,XCR1,AGA,DNAJC13,TMEM184C,OTUD4,QDPR
1875,BBS5,TTLL4,ATRIP,ACSL3,BOD1L1,FGD5-AS1,ENOPH1,ANKH,CCR1,DCTD,UBA5,PRMT9,LSM6,LAP3
1876,FASTKD1,CYP27A1,SHISA5,KCNE4,CPEB2,NR2C2,SEC31A,ZNF622,CCR2,CDKN2AIP,NPHP3,LRBA,SLC10A7,AC006160.1
1877,PPIG,CNPPD1,UQCRC1,AP1S3,FBXL5,MRPS25,THAP9-AS1,RETREG1,AC098613.1,ING2,BFSP2,RPS3A,PRMT9,MED28
1878,PHOSPHO2,RETREG2,IP6K2,WDFY1,FAM200B,RBSN,COPS4,GOLPH3,CCR5,RWDD4,CDV3,FBXW7,LRBA,LCORL
1879,KLHL23,ZFAND2B,PRKAR2A,MRPL44,TAPT1,CAPN7,PLAC8,ZFR,CCRL2,TRAPPC11,TOPBP1,TMEM154,RPS3A,DHX15
