B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
STK4	CYTIP	NA	NA	SRSF3	ARPC5	C19orf53	RNF145	NA	NA	NA	ELOB	RUNX2
HNRNPF	COMMD6	NA	NA	MT-CO3	ARPC5L	C19orf70	MAP3K8	NA	NA	NA	KDM6B	FKBP11
SERBP1	HLA-E	NA	NA	PCAT19	ARPP19	C1QBP	CKLF	NA	NA	NA	COL4A2	ZBTB43
PCNP	CBLB	NA	NA	EID1	ARRDC1	C1QTNF3	MAFG	NA	NA	NA	COX7C	RELB
CCT2	SLA2	NA	NA	CCT2	ARRDC3	C1S	ZBTB43	NA	NA	NA	XBP1	SEC11C
BAZ1A	DYNLL1	NA	NA	PFDN2	ARSD	C1orf52	CD74	NA	NA	NA	NET1	SPCS1
SMAP2	MT-ATP6	NA	NA	GRN	ARSJ	C4orf3	CXCL5	NA	NA	NA	EIF1B	SOD2
RHOA	FKBP11	NA	NA	THSD7A	ASAH1	C4orf48	MAPKAPK2	NA	NA	NA	UQCRQ	RAB21
PFDN2	CSNK1D	NA	NA	EIF2S1	ASAP1	C8orf33	EBI3	NA	NA	NA	FTL	ANKRD11
UBE2D3	CAST	NA	NA	ILF2	ASCC3	C9orf16	SNX9	NA	NA	NA	TOP1	NOP56
TUBA1C	PLP2	NA	NA	TRIB1	ASNS	CACYBP	SDC2	NA	NA	NA	TPPP3	PSME2
EIF3I	TGIF1	NA	NA	NUPR1	ASPH	CALD1	TNFRSF1B	NA	NA	NA	ODC1	CSNK1D
AURKAIP1	METTL9	NA	NA	BGN	ASXL1	CALM2	IFITM3	NA	NA	NA	ELOC	LGALS3
CD44	COX6B1	NA	NA	TFPI	ATAD2	CALR	COX7C	NA	NA	NA	HNRNPAB	ANXA11
CREM	ANKRD12	NA	NA	CCT4	ATAD3B	CALU	C1QA	NA	NA	NA	ILF2	RAB9A
RAN	PSME1	NA	NA	ELOC	ATF3	CAMTA1	GPBP1	NA	NA	NA	WTAP	LRRFIP2
PPIA	ZFAS1	NA	NA	SELE	ATF4	CAP1	RDX	NA	NA	NA	TNFAIP3	SLC16A3
ATP5F1E	GSPT1	NA	NA	DDX39A	ATF6B	CAPN2	BZW1	NA	NA	NA	PTMA	KLHL5
ZFP36	GMFG	NA	NA	SCGB2A2	ATOX1	CAPZA2	PNPLA8	NA	NA	NA	SFPQ	USP12
CNBP	CIRBP	NA	NA	NPC2	ATP13A3	CAPZB	FOSL1	NA	NA	NA	COMMD6	KIF13B
SAMSN1	PCBP2	NA	NA	SRP14	ATP1A1	CAST	TES	NA	NA	NA	LIF	ELOB
PA2G4	CCNI	NA	NA	APP	ATP1B1	CAVIN3	NAA50	NA	NA	NA	MT-ND4L	MEF2A
JAK1	EIF3K	NA	NA	NDUFB1	ATP1B3	CBLB	GRAMD1A	NA	NA	NA	TCP1	GNA13
ARF4	GPR171	NA	NA	SNX9	ATP2A2	CCDC47	FCGR3A	NA	NA	NA	IFRD1	ZFR
SMDT1	ANKRD28	NA	NA	BTF3	ATP2B1	CCDC59	ANKLE2	NA	NA	NA	CAV1	IL2RG
CFLAR	COX7A2	NA	NA	PLVAP	ATP5F1B	CCDC86	RELB	NA	NA	NA	TPM2	HNRNPDL
RWDD1	UBE2D3	NA	NA	TNFAIP3	ATP5F1D	CCL2	NFE2L2	NA	NA	NA	NDUFB7	RAB18
TGIF1	RAN	NA	NA	PTPRG	ATP5F1E	CCNH	ABL2	NA	NA	NA	MAP3K7CL	SLC38A1
BLOC1S2	PPP2R5C	NA	NA	RCAN1	ATP5IF1	CCNL1	TNFAIP3	NA	NA	NA	MT1X	UBALD2
