B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	SLC25A36	STAU2	ADSS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ALKBH7	STEAP1	PODN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IL33	STIP1	FJX1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TBC1D8	STK17A	ESD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AMFR	STK40	AAK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GALNT18	STMN1	FMOD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HMG20B	STMP1	LAMB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PSMB8	STRAP	ARL6IP5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NMB	STUB1	CHCHD5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KMT2A	STX10	AC058791.1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EAPP	STX12	FKBP8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RNF145	STX16	ASNS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BTNL9	STX3	CETN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SAT2	SUCLG2	GRAMD1A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ANAPC5	SUDS3	PLXNB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	POLR2G	SULT1A1	BAIAP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYO6	SUMF1	SHISA5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DOCK9	SUMF2	TBL1XR1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CYR61	SUMO3	CCDC85B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IER5	SUPT16H	DGCR6L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTDSP2	SURF1	PRKG1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TSNAX	SURF4	ARHGAP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	OXR1	SUSD3	ZCRB1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NRN1	SVIL	P3H3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GCC2	SVIP	SNAPC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TNFRSF1B	SWAP70	FAM173A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIAA1109	SWI5	PLK2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BCL7C	SYAP1	GALNT10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZFP36	SYNCRIP	NR2F1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PDGFB	SYNE4	PYCARD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TSPAN9	SYNGR2	ANAPC5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCNL2	SYNJ2	NDUFB3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CNN3	SYPL1	VOPP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SMARCA2	SYTL1	SLC7A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FOXF1	TACSTD2	PDLIM3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VAT1	TAF13	RPL14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GPI	TAF1D	MAGED1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AL118516.1	TAF7	NID2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STIM2	TAF9	SFRP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	YLPM1	TAGLN	GTF2H5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	THBS1	TALDO1	CHCHD10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAR1	TANK	SMOC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PALLD	TAP2	GOLGA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CSRNP1	TARDBP	NCOR2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SPG21	TARS	TMEM179B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BTN3A2	TBC1D15	CAPNS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LEPROTL1	TBC1D9	NKTR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM210B	TBCB	GANAB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SP110	TBK1	ANXA6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IGFBP2	TBL1XR1	ZFP36	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SSBP4	TCAF1	CHID1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAB5B	TCEA1	S100A16	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ADM	TCEA2	DSP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NPTN	TCEA3	TRAPPC3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SDHC	TCEAL1	ARMCX1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GADD45G	TCEAL3	GADD45G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GRHPR	TCEAL4	FAM177A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAPGEF3	TCEAL8	GCLC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FZD6	TCEAL9	ETFB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	JUN	TCERG1	RBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VOPP1	TCOF1	DPY30	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZMIZ1	TCP1	SGIP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PNRC1	TCTEX1D2	SCARB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LMBRD1	TEAD1	TMED4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HEXIM1	TEAD4	ISOC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VCL	TECR	JUN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DDX5	TERF2IP	ALDH1A3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SRGN	TES	KANK2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DLL1	TESMIN	TIMP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RIOK2	TEX264	PCBD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	COA3	TFAM	SASH1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIFC3	TFAP2A	ZNF428	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM174A	TFAP2B	DUSP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CFAP36	TFCP2L1	ZYX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MSRB2	TFF3	VEGFD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NOL4L	TFG	GPM6B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SERTAD4-AS1	TFPI	NFIB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NOS3	TFPI2	FXYD5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ELOVL1	TFPT	ADM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	APOD	TGFB1I1	DCTN3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PFKL	TGIF1	DPM3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MEAF6	TGM2	SSNA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KHDRBS3	THAP9-AS1	TMEM256	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TECPR1	THBS1	ST5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VEZT	THEM6	C7orf50	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	THBD	THRAP3	KIAA1217	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PRKAA1	THSD4	DIO2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ITPR2	TIMM17A	DSG2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SLC2A3	TIMM17B	CTDSP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EXOC3L2	TIMM44	BMP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIAA1147	TIMM50	RPL27A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KCNE4	TIMP1	CHURC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SPPL3	TINAGL1	FAM162A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LASP1	TIPARP	ANXA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMEM179B	TJP1	RGCC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MTUS1	TKT	APOC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ANP32A	TLE4	ECHDC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PARP1	TLN1	RPS14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RALGDS	TLR2	MRPS34	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C6orf89	TM4SF1	GOPC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MCF2L	TM7SF2	MT1E	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CXXC5	TMA7	GPC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STAT2	TMBIM4	CCPG1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ATL3	TMBIM6	OCIAD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PCSK5	TMC4	CD3EAP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NKAP	TMCO1	PDLIM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDK10	TMED10	FLNB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	COL6A1	TMED2	MTIF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SHROOM4	TMED3	TRIM22	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM89A	TMED4	MGP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIF1C	TMED5	COA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAB32	TMEM101	CLSTN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DPP8	TMEM106C	ETHE1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PCGF3	TMEM107	SMIM7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GSDMD	TMEM123	LSP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MIS18BP1	TMEM134	IRF2BPL	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CPT1A	TMEM141	HEBP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FKBP8	TMEM14A	MT-ND2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TCEAL3	TMEM14B	PAFAH1B3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARHGAP23	TMEM14C	PRKCSH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MRPS34	TMEM150C	PPP3CA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TTC28	TMEM160	TMEM14B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARL2BP	TMEM165	AC092040.1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UBE2L6	TMEM179B	CDIPT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LPAR6	TMEM205	ADNP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	WDR75	TMEM219	PLOD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LNPEP	TMEM230	MGST1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EFR3A	TMEM25	CHD9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARHGEF2	TMEM254	PHLDB1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARHGEF7	TMEM256	HEXIM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MKNK2	TMEM258	MRPL34	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GNA11	TMEM30A	FZD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TRIM38	TMEM40	MPG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CXCR4	TMEM43	POLR2G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RNF19A	TMEM45B	AES	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HERC1	TMEM50B	HOOK2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MT1E	TMEM54	PTGER4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDIPT	TMEM59	LAMA4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTSO	TMEM9	MUM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	XPO1	TMEM99	ERO1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MSRB3	TMOD3	ADD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CSF1	TMSB4X	DPP7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ECH1	TNC	OGA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ENPP2	TNFAIP1	TCEAL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BAD	TNFAIP2	FHL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYLK	TNFAIP3	MESD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HCFC1R1	TNFAIP6	ASPH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FNBP1L	TNFAIP8	UBE2E2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RFC1	TNFRSF10A	TMEM134	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DPY30	TNFRSF12A	ECHS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	F11R	TNFRSF1A	TFF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAI14	TNIP1	ITM2C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TCF7L1	TNIP2	MRPL43	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CBX6	TNNT1	GPAA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HEXA	TNPO1	TCEAL9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCDC3	TNRC6B	INAFM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HES1	TNS4	TXN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CYHR1	TOB1	TMEM14A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AFAP1L1	TOMM40	LMO7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C7orf50	TOMM5	DCXR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MBTPS1	TOMM7	UQCC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IFNAR2	TOP1	KRT15	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CANT1	TOPORS	CHMP4A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAP3K11	TP53I11	FTX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STX10	TP53INP1	MAN2A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RRAS	TP53TG1	AKAP13	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYADM	TPD52	PIN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDK6	TPGS2	ARL2BP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DELE1	TPM1	CCDC80	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PTRHD1	TPM2	SPTAN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ALDH9A1	TPM4	MRPS16	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SLC26A2	TPP1	CILP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RICTOR	TPRA1	RPL31	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PRRX1	TPRG1	SEC24D	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IQCK	TPT1	SMCO4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCDC69	TRA2B	TPP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GTF3A	TRAF4	SWI5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PKD2	TRAPPC1	PMVK	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RYK	TRAPPC2L	CAPG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PSMA2	TRAPPC6A	FARP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PROCR	TRIM29	TMEM205	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LONP2	TRIM47	KCNQ1OT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VPS13A	TRIO	PRICKLE1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAT2B	TRIP10	C5orf15	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HSPA14.1	TRMT1	HEG1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SRGAP2C	TRMT10C	UBE2L6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DUSP22	TRMT11	DNAJC19	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TRAPPC2L	TRMT112	NT5C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTHRC1	TRMT61A	CFH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAPK3	TRNT1	MYADM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RSRC1	TRPS1	THBS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MINDY2	TRPT1	RBMS3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PIN4	TSC2	MICU1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPL12	TSC22D1	AC245297.3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KLHL24	TSC22D2	ZKSCAN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DPYSL3	TSC22D3	ATXN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AP2A2	TSEN34	STEAP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIAA1671	TSFM	PTPA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SMIM19	TSHZ2	AAMDC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CFI	TSNAX	SLC39A13	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EEA1	TSPAN1	CTNND1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZYG11B	TSPAN13	PLEKHJ1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM162A	TSPAN15	RDH10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RASGEF1B	TSR1	BMPR2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	COLGALT1	TSSC4	MYL6B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CPNE3	TSTA3	SLC12A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SH3PXD2A	TSTD1	SEMA5A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ATP11C	TTC19	MT1M	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	COBLL1	TTC3	PLA2G16	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PIP5K1C	TTC36	PCMTD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NSD1	TTC39A	DPYSL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MTF2	TUBA1A	COMMD3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAGT1	TUBA1B	MBNL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCDC66	TUBA1C	NDUFB5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CUEDC2	TUBA4A	MGMT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TTC1	TUBB	RPA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STK40	TUBB2A	COLGALT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DPP7	TUBB2B	AGTRAP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ICA1	TUBB4B	AKR7A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SUGP2	TUBB6	PFDN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDK5RAP3	TUT4	ANXA4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HPCAL1	TWISTNB	ZCCHC24	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PHKB	TXLNG	PLXDC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C1orf115	TXN	KANSL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDS2	TXN2	MMP24OS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PLXDC2	TXNDC17	DEPP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTBP1	TXNDC9	NR4A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAB31	TXNIP	PIP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RNASEK	TXNL1	CXCL14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FDPS	TXNRD1	ERGIC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CSF2RB	TYMP	LAGE3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SPIN1	U2SURP	ALDH1A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TTC17	UAP1	IDH2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HOXB7	UBA2	RBCK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DECR1	UBA52	COX20	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PPP2R5A	UBA6	DCN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NUDT3	UBAP1	SLC38A10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CITED2	UBASH3B	VPS25	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LTA4H	UBC	ARF5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMEM127	UBE2A	CRYAB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FBXO25	UBE2B	WIPF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDH13	UBE2D1	ODF2L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MIB1	UBE2D3	NDUFA8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	WDFY3	UBE2L3	HINT2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MMP24OS	UBE2L6	TCEAL7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZNF280D	UBE2N	FLYWCH2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZNF532	UBE3A	RPS4X	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PDLIM7	UBL5	ARL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UQCC3	UBQLN1	EHD2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TNRC6C	UBR4	CD24	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CLNS1A	UCHL3	MRPL54	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RASSF3	UCK2	P4HA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UBE2Q1	UCP2	NFE2L1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FOXC1	UFC1	LSM10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PGM2L1	UFM1	TGFBR2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SPSB3	UGP2	ADIRF	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYL6B	UHMK1	BLVRB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SDF2L1	UPF3A	TMEM109	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MXD4	UPP1	MT-ND3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EPB41L2	UQCC2	SMIM30	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CUL5	UQCC3	RRAS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CWF19L2	UQCR10	RPS15	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TACSTD2	UQCR11	FAM20C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GRPEL2	UQCRB	COLEC12	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TNKS1BP1	UQCRFS1	ANKRD37	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MFSD10	UQCRH	LRRC17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PIAS2	UQCRQ	GLIS2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LAPTM5	UROS	MFSD10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CASC4	USF2	KNOP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TBC1D5	USP10	CTBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MET	USP12	PFN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UHMK1	USP14	SNRPN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PCMTD2	USP15	NDN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CLCN3	USP31	LY96	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TPD52L1	USP34	SFT2D2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NOSTRIN	USP36	CYHR1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ECHS1	USP47	ATP6AP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ATOH8	USP53	MRPS14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CRISPLD2	UTP11	TRAPPC2L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMED4	UTP18	PAXX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HIP1R	UTP20	GLIPR2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STC2	UTP3	IFITM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TTC37	UTP4	NAGK	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FOSB	UTP6	LAMB1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C1orf123	VAMP2	CUEDC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STK4	VAMP8	ZFYVE21	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SNAP23	VAPA	KRT7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMEM141	VASP	VEGFB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TIMMDC1	VAV3	PSENEN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PRDM1	VCL	MRPS33	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UBA52	VCP	TMEM50B	NA	NA	NA	NA	NA	NA
