,NK,NKT,CD4T,CD8T,Endothelial,Epithelial,Macrophage,Monocyte,DC,B,Plasma,Mast,Fibroblast,Pericyte
113,RCC2,CASP9,CROCCP2,UBR4,VPS13D,PEX14,MTHFR,RCC2,DDI2,AKR7A2,KIAA2013,AKIRIN1,EXOSC10,TNFRSF1B
114,IFFO2,DNAJC16,CROCC,EMC1,DHRS3,CASZ1,CLCN6,ARHGEF10L,PLEKHM2,CAPZB,PLOD1,NDUFS5,RP4-635E18.6,VPS13D
115,UBR4,AGMAT,RP11-108M9.4,MRTO4,PRDM2,TARDBP,KIAA2013,IFFO2,RP11-169K16.9,MINOS1,MFN2,MACF1,MTOR,DHRS3
116,EMC1,DDI2,ATP13A2,AKR7A2,TMEM51,MASP2,PLOD1,UBR4,SPEN,TMCO4,MIIP,PABPC4,UBIAD1,PRDM2
117,MRTO4,PLEKHM2,SDHB,CAPZB,EFHD2,RP4-635E18.8,MFN2,EMC1,ZBTB17,MUL1,TNFRSF1B,PPIE,FBXO2,TMEM51
118,AKR7A2,RP11-169K16.9,RCC2,MINOS1,CASP9,SRM,MIIP,MRTO4,EPHA2,PINK1,VPS13D,CAP1,FBXO44,FHAD1
119,PQLC2,SPEN,IFFO2,NBL1,DNAJC16,EXOSC10,TNFRSF8,AKR7A2,FBXO42,DDOST,DHRS3,PPT1,FBXO6,EFHD2
120,CAPZB,ZBTB17,UBR4,TMCO4,DDI2,RP4-635E18.6,TNFRSF1B,PQLC2,SZRD1,HP1BP3,PRDM2,RP1-39G22.7,MAD2L2,CASP9
121,MINOS1,ARHGEF19,EMC1,UBXN10-AS1,PLEKHM2,MTOR,VPS13D,CAPZB,NECAP2,EIF4G3,EFHD2,ZMPSTE24,AGTRAP,DNAJC16
122,NBL1,FBXO42,MRTO4,MUL1,FBLIM1,UBIAD1,DHRS3,MINOS1,NBPF1,ECE1,CASP9,YBX1,C1orf167,DDI2
123,TMCO4,SZRD1,AKR7A2,DDOST,RP11-169K16.9,FBXO2,PRDM2,TMCO4,CROCCP2,USP48,DNAJC16,CCDC23,MTHFR,PLEKHM2
124,UBXN10-AS1,NECAP2,CAPZB,HP1BP3,SPEN,FBXO44,TMEM51,MUL1,RP11-108M9.4,HSPG2,AGMAT,SZT2,CLCN6,SLC25A34
125,MUL1,NBPF1,MINOS1,EIF4G3,ZBTB17,FBXO6,FHAD1,CDA,ATP13A2,CDC42,DDI2,HYI,KIAA2013,FBLIM1
126,PINK1,CROCCP2,NBL1,ECE1,EPHA2,MAD2L2,EFHD2,PINK1,SDHB,ZBTB40,PLEKHM2,PTPRF,PLOD1,RP11-169K16.9
127,DDOST,RP11-108M9.4,TMCO4,USP48,ARHGEF19,AGTRAP,CASP9,DDOST,PADI2,C1QA,FBLIM1,DMAP1,MFN2,SPEN
128,HP1BP3,ATP13A2,UBXN10-AS1,LINC00339,FBXO42,C1orf167,DNAJC16,HP1BP3,PADI4,C1QC,RP11-169K16.9,RNF220,MIIP,ZBTB17
129,EIF4G3,SDHB,CAMK2N1,CDC42,SZRD1,MTHFR,DDI2,EIF4G3,RCC2,C1QB,SPEN,C1orf228,TNFRSF8,EPHA2
130,ECE1,RCC2,MUL1,ZBTB40,NECAP2,CLCN6,PLEKHM2,ECE1,ARHGEF10L,KDM1A,ZBTB17,RPS8,TNFRSF1B,ARHGEF19
131,USP48,ARHGEF10L,PINK1,C1QA,NBPF1,KIAA2013,FBLIM1,USP48,ALDH4A1,LUZP1,EPHA2,UROD,VPS13D,FBXO42
132,LINC00339,IFFO2,DDOST,C1QC,CROCCP2,PLOD1,RP11-169K16.9,HSPG2,UBR4,HNRNPR,ARHGEF19,TOE1,DHRS3,SZRD1
133,CDC42,UBR4,HP1BP3,C1QB,CROCC,MFN2,SPEN,LINC00339,RP1-43E13.2,ID3,FBXO42,PRDX1,PRDM2,NECAP2
134,C1QA,RP1-43E13.2,EIF4G3,KDM1A,RP11-108M9.4,MIIP,ZBTB17,CDC42,EMC1,RPL11,SZRD1,AKR1A1,TMEM51,NBPF1
135,C1QC,EMC1,ECE1,LUZP1,ATP13A2,TNFRSF1B,EPHA2,ZBTB40,MRTO4,TCEB3,NECAP2,NASP,EFHD2,CROCCP2
136,C1QB,MRTO4,USP48,HNRNPR,SDHB,VPS13D,ARHGEF19,C1QA,AKR7A2,RP5-886K2.3,NBPF1,GPBP1L1,CASP9,CROCC
137,KDM1A,AKR7A2,HSPG2,ID3,RCC2,DHRS3,FBXO42,C1QC,PQLC2,PITHD1,CROCCP2,LRRC41,DNAJC16,RP11-108M9.4
138,LUZP1,PQLC2,LINC00339,RPL11,ARHGEF10L,PRDM2,SZRD1,C1QB,CAPZB,LYPLA2,RP11-108M9.4,UQCRH,DDI2,RP11-108M9.6
139,HNRNPR,CAPZB,CDC42,TCEB3,ALDH4A1,TMEM51,NECAP2,KDM1A,MINOS1,HMGCL,RP11-108M9.6,MOB3C,PLEKHM2,ATP13A2
140,ID3,MINOS1,C1QA,PITHD1,IFFO2,FHAD1,NBPF1,LUZP1,TMCO4,FUCA1,ATP13A2,ATPAF1,FBLIM1,SDHB
141,RPL11,NBL1,C1QC,LYPLA2,UBR4,EFHD2,CROCCP2,HNRNPR,MUL1,CNR2,SDHB,EFCAB14,RP11-169K16.9,RCC2
142,TCEB3,TMCO4,C1QB,GALE,RP1-43E13.2,CASP9,CROCC,ID3,PINK1,PNRC2,RCC2,CMPK1,SPEN,ARHGEF10L
143,RP5-886K2.3,OTUD3,KDM1A,HMGCL,EMC1,DNAJC16,RP11-108M9.4,RPL11,PINK1-AS,SRSF10,ARHGEF10L,RNF11,ZBTB17,IFFO2
144,PITHD1,UBXN10-AS1,LUZP1,FUCA1,MRTO4,AGMAT,ATP13A2,TCEB3,DDOST,IFNLR1,ALDH4A1,NRD1,EPHA2,UBR4
