B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
NA	NA	NA	NA	NA	DNAI2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SRD5A3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZNF431	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC189	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZFAND2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANXA4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIST1H4C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPATA17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PKM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNAP23	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CACYBP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCAM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2J	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LSR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EZR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EFCAB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UBC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLXNA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARL6IP5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VWA3B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM256	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ECHDC3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAGED1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP5G1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC85B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM189A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM67	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DUSP10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TTC29	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APTR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WDR34	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHMP4B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BEX4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NFIC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTRH1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBA1C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KCNK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP6V1H	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFAP43	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM134B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC191	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLXNB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGAP18	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C2ORF54	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RB1CC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SARAF	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP1R13L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAPRE3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TTLL10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZFYVE21	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TOB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD52	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EPC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	H2AFV	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPS6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C1ORF168	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APOL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BMP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTP4A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KIF3A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RUVBL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CPNE3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCO2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SOD3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFAP20	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	APLP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBA1A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIGD2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NCOR1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C7ORF57	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DZIP3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC16A5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM98	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BZW1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LDLR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAJC12	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	S100A14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACSL4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OTUD7B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SH3BGRL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGA6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PHF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MED10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MTF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDLIM3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP5L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RBM6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPATA18	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C12ORF57	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDHR3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C20ORF96	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PARK7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PYCARD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARL4A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C10ORF10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RIIAD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BLOC1S1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PMAIP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZNF106	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPS14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RCN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PHYHD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HNRNPU	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SSR3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGAP29	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GSTA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EEF1B2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLHDC9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HACD4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD59	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NPHP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNHG8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLK11	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DOCK4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM125	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RRAD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AP3S1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IFI44L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGST2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAIM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	G6PD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GOLGA4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NECAB1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C4ORF22	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM245	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMBIM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SUMO2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CST3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBB2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC113	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DYNC1LI2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SYNE2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAGLN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RABL2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDK4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COPS9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KPNA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH3A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSPD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BCAT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MYO6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLN5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNF8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSPBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIPK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANK3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COQ4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NRGN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP1CB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC84	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HMGN3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GON7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARPC1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C1ORF116	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C4ORF47	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ST5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HNRNPA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAPK15	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AMD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CEPT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLTC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDCD6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LINC00969	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPIC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OSBPL11	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ENDOG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CITED2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BROX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	N4BP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GIPC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SOCS2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SGK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP1R14C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UFM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CHD9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MPHOSPH8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BTF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BBOF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SRI	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MSMO1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAH11	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMED3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITSN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH3B1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRKCD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COMT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BEX3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANP32B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DYNLL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ECHDC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALU	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WDR13	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MORN3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TECR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DHCR24	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFAF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRRC59	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DRAM2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CA12	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2F	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C1S	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SRSF7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UNC93B1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TGFBI	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF5A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CSNK2B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PHACTR2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HNRNPDL	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLEKHH2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IL18	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	USP8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MBIP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KRTCAP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLNS1A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM65B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	JADE1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFB4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYR61	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	YPEL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UTRN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MYO9A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAH10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ILF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMCO1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBGCP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMA7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAB14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP5H	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARHGAP5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CXCL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP1R7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DEGS2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FHAD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DRAIC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASGRF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NEK11	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAF1D	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SCGB2A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPOX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SESTD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MBNL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MMP7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RFX3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDIA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PNRC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	JMJD1C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS19BP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RMDN3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC5A3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC30	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FANK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NHP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VDAC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCDC66	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCEB1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CRBN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IMP3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LSM4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AKR1B1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH3A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAB25	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C5ORF45	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAAF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GULP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PGK1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C14ORF166	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP1R15A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RP11.138A9.1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MLLT10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX6A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPA17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFA12	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2K	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTRHD1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH1A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNTTIP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CCT6A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRKCA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIRIP3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNAH7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NPM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDXK	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANXA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TSPAN19	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	H3F3B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EPDR1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ABCA5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NUCKS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NHSL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GNAS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAB9A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM227A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EDF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PCYT2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANKRD12	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX7A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC35A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GCNT2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RASSF4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLCCI1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RSPH3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNRPB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRRC6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COBLL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSDL2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAPN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WBP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RCAN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PACSIN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2L	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINH1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NEDD8	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	H2AFZ	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMB3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RBM8A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ISG20	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AC007405.6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MT1X	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL36AL	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CNPY2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPC3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ADK	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	JUNB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CISH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COX5A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSD17B11	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C11ORF31	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTD.2626G11.2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIK3IP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALOX5AP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CPEB4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SDF2L1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPS33	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC25A37	NA	NA	NA	NA	NA	NA
