,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
180,RPS20,MVP,QPCTL,HFE,MVP,LRRC23,STARD3NL,ZNF200,AKAP8L,ELOVL5,CALCOCO1,EXTL3,STRAP
181,CSDE1,NUB1,PPP5C,SCMH1,NUB1,BTK,CD9,CD4,MBTD1,ALOX5,UBR7,ELOVL5,DEF6
182,UBE3C,PGM3,CEP68,FYN,PGM3,HFE,NCAPD2,LRRC23,UTP18,CALCOCO1,MAP4K5,ALOX5,GCLM
183,REV3L,CLK1,ZBTB32,HIVEP2,CLK1,SCMH1,IFFO1,SCMH1,RNF216,UBR7,EHD3,CALCOCO1,UBR2
184,IYD,RNF14,TYROBP,TCEB3,RNF14,FYN,PHF7,FYN,TTC19,MAP4K5,PSMC4,UBR7,CCDC28A
185,FAM76A,DNASE1L1,TMEM159,LYPLA2,DNASE1L1,HIVEP2,NISCH,HIVEP2,PTBP1,PSMC4,MAN2B2,MAP4K5,HSF2
186,TRAF3IP3,DDX11,BRCA1,CLCN6,DDX11,TCEB3,STAB1,TCEB3,LARS2,MAN2B2,SLC25A39,PSMC4,PHF20
187,POMT2,HEBP1,ERCC1,MRC2,HEBP1,LYPLA2,FUZ,LYPLA2,PIK3C2A,SLC25A39,MVP,MAN2B2,TYMP
188,VTA1,CD6,CD22,BTBD7,CD6,CLCN6,IDS,CLCN6,PLAUR,MVP,NUB1,SLC25A39,NCAPH2
189,MLXIPL,TACC3,MBTPS2,APBA3,TACC3,MRC2,ZNF200,MRC2,ANLN,NUB1,PGM3,MVP,TOMM34
190,BAZ1B,UFL1,EXTL3,MKS1,UFL1,BTBD7,CD4,TSPAN9,WIZ,PGM3,CLK1,NUB1,SEC63
191,RANBP9,POLA2,ELOVL5,ABHD5,ZC3H3,APBA3,LRRC23,BTBD7,RABGAP1,CLK1,RNF14,PGM3,KPNA6
192,ETV7,ZC3H3,ALOX5,ANOS1,CAPN1,MKS1,BTK,APBA3,DCN,RNF14,DNASE1L1,CLK1,VIM
193,SPRTN,CAPN1,CALCOCO1,AKAP8L,MDH1,ABHD5,HFE,MKS1,PPP5C,DNASE1L1,DDX11,POLR3B,FAS
194,METTL13,MDH1,UBR7,MBTD1,SLC30A9,AKAP8L,SCMH1,ABHD5,CEP68,DDX11,HEBP1,RNF14,RNASET2
195,DYRK4,SLC30A9,MAP4K5,UTP18,COX15,MBTD1,FYN,AKAP8L,MAP4K3,HEBP1,CD6,DNASE1L1,CD44
196,ZNF207,COX15,PSMC4,RNF216,CCDC88C,UTP18,HIVEP2,MBTD1,ZBTB32,CD6,TACC3,HEBP1,SLAMF7
197,UQCRC1,CCDC88C,MAN2B2,TTC19,YAF2,RNF216,FMO1,UTP18,TYROBP,TACC3,UFL1,GPRC5A,IFNGR1
198,STARD3NL,YAF2,SLC25A39,PTBP1,ZMYND11,TTC19,TCEB3,RNF216,TMEM159,UFL1,POLA2,TACC3,SH2D2A
199,CD9,ZMYND11,MVP,LARS2,WAS,PTBP1,LYPLA2,TTC19,BRCA1,POLA2,ZC3H3,UFL1,VRK2
200,NCAPD2,WAS,NUB1,PIK3C2A,BID,LARS2,CLCN6,PTBP1,ERCC1,ZC3H3,CAPN1,ZC3H3,TNFRSF1B
201,IFFO1,BID,PGM3,PLAUR,MATR3,PIK3C2A,MRC2,SYT7,MBTPS2,CAPN1,MDH1,CAPN1,VEZT
202,GIPR,MATR3,CLK1,ANLN,XYLT2,PLAUR,TSPAN9,LARS2,EXTL3,MDH1,SLC30A9,ACPP,POU2F2
203,PHF7,RGPD5,POLR3B,WIZ,RGPD5,WIZ,BTBD7,PIK3C2A,ELOVL5,SLC30A9,COX15,MDH1,BRD9
204,NISCH,NUDCD3,RNF14,RABGAP1,NUDCD3,RABGAP1,APBA3,PLAUR,ALOX5,COX15,CCDC88C,SLC30A9,SNX1
205,FUZ,GLT8D1,DNASE1L1,DCN,GLT8D1,DCN,MKS1,WIZ,CALCOCO1,CCDC88C,YAF2,MTMR11,TBPL1
206,IDS,ATP2C1,HEBP1,QPCTL,ATP2C1,QPCTL,ABHD5,RABGAP1,UBR7,YAF2,ZMYND11,COX15,BCLAF1
207,PRSS3,SLC38A5,CD6,PPP5C,SLC38A5,PPP5C,ANOS1,DCN,MAP4K5,ZMYND11,WAS,CCDC88C,SLC39A9
208,ZNF200,RALBP1,TACC3,CEP68,RALBP1,CEP68,AKAP8L,PPP5C,PSMC4,WAS,BID,YAF2,RABEP1
209,CD4,RUFY3,UFL1,MAP4K3,RUFY3,MAP4K3,MBTD1,CEP68,MAN2B2,BID,MATR3,ZMYND11,HMGB3
210,LRRC23,SLC11A1,POLA2,TYROBP,SLC11A1,TYROBP,UTP18,MAP4K3,SLC25A39,MATR3,RGPD5,WAS,NUP160
211,BTK,AGPS,ZC3H3,TMEM159,AGPS,TMEM159,RNF216,TYROBP,MVP,XYLT2,NUDCD3,BID,BAK1
212,HFE,CXORF56,CAPN1,BRCA1,CXORF56,BRCA1,TTC19,TMEM159,NUB1,RGPD5,GLT8D1,RGPD5,GRN
213,SCMH1,TTC27,MDH1,ERCC1,TTC27,ERCC1,PTBP1,BRCA1,PGM3,NUDCD3,ATP2C1,NUDCD3,FAM13B
214,FYN,PHLDB1,SLC30A9,CD22,MARCO,CD22,SYT7,ERCC1,CLK1,GLT8D1,SLC38A5,GLT8D1,SARS
215,HIVEP2,MARCO,COX15,MBTPS2,CD74,MBTPS2,LARS2,SEMA3B,ANGEL1,ATP2C1,RALBP1,ATP2C1,ARID4A
216,TCEB3,CD74,CCDC88C,PRICKLE3,ZRANB1,PRICKLE3,PIK3C2A,MBTPS2,RNF14,SLC38A5,RUFY3,RALBP1,TSSC1
217,LYPLA2,ZRANB1,YAF2,EXTL3,MNAT1,EXTL3,PLAUR,EXTL3,DNASE1L1,RALBP1,AGPS,RUFY3,PNPLA6
218,CLCN6,NCDN,ZMYND11,ELOVL5,RUNX3,ELOVL5,WIZ,ELOVL5,DDX11,RUFY3,CXORF56,SLC11A1,IFT88
219,MRC2,MNAT1,WAS,ALOX5,MRE11A,ALOX5,RABGAP1,ALOX5,HEBP1,SLC11A1,TTC27,AGPS,ZCCHC8
220,TSPAN9,SAMD4A,BID,CALCOCO1,PLEKHB1,CALCOCO1,DCN,CALCOCO1,GPRC5A,AGPS,PHLDB1,CXORF56,CHPF2
221,BTBD7,RUNX3,MATR3,UBR7,SERPINB1,UBR7,QPCTL,UBR7,CD6,CXORF56,MARCO,TTC27,FUT8
222,APBA3,MRE11A,RGPD5,MAP4K5,SPAST,MAP4K5,PPP5C,MAP4K5,TACC3,TTC27,CD74,PHLDB1,UBA6
223,MKS1,PLEKHB1,NUDCD3,PSMC4,OSBPL5,PSMC4,CEP68,EHD3,UFL1,ZNF582,ZRANB1,MARCO,ATP6V0A1
224,ABHD5,SERPINB1,CHDH,MAN2B2,AQR,MAN2B2,MAP4K3,PSMC4,POLA2,MARCO,ZFP64,CD74,PIAS1
225,ANOS1,SPAST,GLT8D1,CLDN11,FHL1,SLC25A39,TYROBP,MAN2B2,ZC3H3,CD74,MNAT1,HGF,SLC4A7
226,AKAP8L,AQR,ATP2C1,SLC25A39,RTFDC1,MVP,TMEM159,CLDN11,CAPN1,ZRANB1,SAMD4A,ZRANB1,MAP2K3
227,MBTD1,FHL1,RALBP1,MVP,RNF10,NUB1,BRCA1,SLC25A39,MDH1,ZFP64,RUNX3,MNAT1,TMSB10
228,UTP18,RTFDC1,RUFY3,NUB1,ZNF839,PGM3,ERCC1,MVP,SLC30A9,MNAT1,MRE11A,SAMD4A,RNF19A
229,RNF216,RNF10,SLC11A1,PGM3,ZDHHC6,RWDD2A,SEMA3B,NUB1,MTMR11,RUNX3,PLEKHB1,RUNX3,GABARAPL2
230,TTC19,ZNF839,AGPS,RWDD2A,GRAMD1B,CLK1,MBTPS2,PGM3,COX15,MRE11A,SERPINB1,MRE11A,FAM136A
231,PTBP1,ZDHHC6,CXORF56,CLK1,RNH1,POLR3B,PRICKLE3,CLK1,CCDC88C,PLEKHB1,SPAST,SERPINB1,DEPDC1B
232,SYT7,GRAMD1B,TTC27,POLR3B,NDUFS1,ANGEL1,LTF,ANGEL1,YAF2,SERPINB1,AQR,SPAST,ADSS
233,LARS2,RNH1,ZNF582,ANGEL1,RB1CC1,RNF14,EXTL3,RNF14,ZMYND11,SPAST,RTFDC1,OSBPL5,STAP1
234,PIK3C2A,NDUFS1,MARCO,RNF14,ERP44,DNASE1L1,ELOVL5,DNASE1L1,WAS,OSBPL5,RNF10,AQR,RFC1
235,PLAUR,RB1CC1,PRDM11,DNASE1L1,ALAS1,DDX11,ALOX5,DDX11,BID,AQR,ZDHHC6,FHL1,TBC1D23
236,WIZ,ERP44,CD74,DDX11,BIRC3,HEBP1,CALCOCO1,HEBP1,MATR3,FHL1,RNH1,RTFDC1,CUL3
237,RABGAP1,ALAS1,HGF,HEBP1,AKAP11,GPRC5A,UBR7,GPRC5A,XYLT2,RTFDC1,NDUFS1,RNF10,ZZZ3
238,DCN,BIRC3,ZRANB1,GPRC5A,GLRX2,CD6,MAP4K5,MAMLD1,RGPD5,RNF10,RB1CC1,ZDHHC6,TUBG2
239,PPP5C,AKAP11,NCDN,CD6,SNAPC1,TACC3,EHD3,CD6,NUDCD3,ZNF839,ERP44,GRAMD1B,RPL26L1
240,CEP68,GLRX2,ZFP64,TACC3,DERA,UFL1,PSMC4,TACC3,GLT8D1,ZDHHC6,ALAS1,RNH1,NSUN2
241,MAP4K3,SNAPC1,MNAT1,UFL1,STRAP,POLA2,MAN2B2,UFL1,ATP2C1,GRAMD1B,BIRC3,NDUFS1,FBXO42
242,TYROBP,DERA,SAMD4A,POLA2,DEF6,ZC3H3,CLDN11,POLA2,SLC38A5,RNH1,AKAP11,RB1CC1,PI4K2B
243,TMEM159,STRAP,RUNX3,ZC3H3,PLEKHO1,CAPN1,SLC25A39,ZC3H3,RALBP1,NDUFS1,GLRX2,ERP44,BOD1L1
244,BRCA1,DEF6,MRE11A,CAPN1,GCLM,ACPP,MVP,CAPN1,RUFY3,RB1CC1,SNAPC1,ALAS1,MAT2B
245,ERCC1,PLEKHO1,SERPINB1,ACPP,UBR2,MDH1,NUB1,MDH1,SLC11A1,ERP44,DERA,BIRC3,TRIO
246,SEMA3B,GCLM,SPAST,MDH1,CCDC28A,SLC30A9,PGM3,SLC30A9,WWTR1,ALAS1,STRAP,AKAP11,VCAN
247,MBTPS2,UBR2,OSBPL5,SLC30A9,HSF2,MTMR11,RWDD2A,MTMR11,AGPS,BIRC3,DEF6,GLRX2,CLEC16A
248,PRICKLE3,CCDC28A,AQR,MTMR11,PHF20,COX15,CLK1,COX15,CXORF56,AKAP11,PLEKHO1,SNAPC1,MSR1
249,LTF,HSF2,FHL1,COX15,TYMP,CCDC88C,POLR3B,CCDC88C,TTC27,GLRX2,GCLM,DERA,PNKP
250,EXTL3,PHF20,RTFDC1,CCDC88C,NCAPH2,YAF2,ANGEL1,YAF2,PHLDB1,SNAPC1,UBR2,STRAP,STAU2
251,ELOVL5,TYMP,RNF10,YAF2,TOMM34,ZMYND11,RNF14,ZMYND11,MARCO,DERA,CCDC28A,DEF6,INPP4A
252,ALOX5,NCAPH2,ZNF839,ZMYND11,SEC63,WAS,DNASE1L1,WAS,PRDM11,STRAP,HSF2,PLEKHO1,PSMA4
253,CALCOCO1,TOMM34,ZDHHC6,WAS,KPNA6,BID,DDX11,BID,CD74,DEF6,PHF20,GCLM,PARP3
254,UBR7,SEC63,RNH1,BID,VIM,MATR3,HEBP1,MATR3,ZRANB1,PLEKHO1,TYMP,UBR2,MED17
255,MAP4K5,KPNA6,NDUFS1,MATR3,FAS,XYLT2,GPRC5A,XYLT2,NCDN,GCLM,NCAPH2,CCDC28A,CAPG
256,PSMC4,VIM,RB1CC1,XYLT2,RNASET2,RGPD5,MAMLD1,RGPD5,ZFP64,UBR2,TOMM34,RRAGD,AP2S1
257,MAN2B2,FAS,ERP44,RGPD5,CD44,NUDCD3,CD6,NUDCD3,MNAT1,CCDC28A,SEC63,HSF2,ADAM28
258,CLDN11,RNASET2,ALAS1,NUDCD3,AGPAT4,GLT8D1,TACC3,GLT8D1,RUNX3,HSF2,KPNA6,PHF20,JADE2
259,SLC25A39,CD44,BIRC3,CHDH,SLAMF7,ATP2C1,UFL1,ATP2C1,MRE11A,PHF20,VIM,NR1H3,LCP2
260,MVP,AGPAT4,AKAP11,GLT8D1,BTN3A1,SLC38A5,POLA2,IGF1,PLEKHB1,TYMP,FAS,TYMP,TRIT1
261,NUB1,BTN3A1,GLRX2,ATP2C1,PRKCH,RALBP1,ZC3H3,RALBP1,SERPINB1,NCAPH2,RNASET2,NCAPH2,CTNNA1
262,PGM3,PRKCH,SNAPC1,IGF1,IFNGR1,RUFY3,CAPN1,RUFY3,SPAST,TOMM34,CD44,TOMM34,HSPA5
263,RWDD2A,IFNGR1,DERA,RALBP1,B4GALT7,SLC11A1,MDH1,SLC11A1,OSBPL5,SEC63,SLAMF7,SEC63,GEMIN8
264,CLK1,B4GALT7,STRAP,RUFY3,SH2D2A,WWTR1,SLC30A9,WWTR1,AQR,KPNA6,BTN3A1,KPNA6,OFD1
265,POLR3B,SH2D2A,DEF6,SLC11A1,VRK2,AGPS,MTMR11,AGPS,FHL1,VIM,MIPEP,VIM,GPM6B
266,ANGEL1,VRK2,PLEKHO1,WWTR1,TNFRSF1B,CXORF56,COX15,CXORF56,RTFDC1,FAS,PRKCH,FAS,WDR37
267,RNF14,TNFRSF1B,GCLM,AGPS,VEZT,TTC27,CCDC88C,TTC27,RNF10,RNASET2,IFNGR1,RNASET2,ATP6V1H
268,DNASE1L1,VEZT,UBR2,CXORF56,POU2F2,ZNF582,YAF2,ZNF582,ZNF839,CD44,B4GALT7,CD44,POLR2B
269,DDX11,POU2F2,CCDC28A,TTC27,BRD9,PHLDB1,ZMYND11,VSIG2,ZDHHC6,AGPAT4,SH2D2A,AGPAT4,FAM214A
270,HEBP1,BRD9,RRAGD,ZNF582,SNX1,MARCO,WAS,PHLDB1,GRAMD1B,SLAMF7,VRK2,SLAMF7,ARAP2
271,GPRC5A,SNX1,HSF2,PHLDB1,TBPL1,CD74,BID,MARCO,RNH1,BTN3A1,TNFRSF1B,BTN3A1,TPR
272,CD6,TBPL1,PHF20,MARCO,BCLAF1,ZRANB1,MATR3,PRDM11,NDUFS1,PRKCH,VEZT,PRKCH,DTNBP1
273,TACC3,BCLAF1,NR1H3,CD74,SLC39A9,ZFP64,XYLT2,SNAI2,RB1CC1,IFNGR1,POU2F2,IFNGR1,ARHGAP6
274,UFL1,SLC39A9,TYMP,HGF,TFB1M,MNAT1,RGPD5,CD74,ERP44,B4GALT7,BRD9,B4GALT7,GOPC
275,POLA2,TFB1M,NCAPH2,ZRANB1,RABEP1,SAMD4A,NUDCD3,ZRANB1,ALAS1,SH2D2A,SNX1,VRK2,USP28
276,ZC3H3,RABEP1,TOMM34,NCDN,HMGB3,RUNX3,CHDH,NCDN,BIRC3,VRK2,TBPL1,TNFRSF1B,HDAC9
277,CAPN1,HMGB3,SEC63,ZFP64,NUP160,MRE11A,IL20RA,ADGRA2,AKAP11,TNFRSF1B,BCLAF1,VEZT,TSPAN17
278,ACPP,NUP160,KPNA6,MNAT1,BAK1,SERPINB1,GLT8D1,ZFP64,GLRX2,VEZT,SLC39A9,POU2F2,NOP16
279,MDH1,BAK1,VIM,SAMD4A,IKZF2,SPAST,ATP2C1,MNAT1,SNAPC1,POU2F2,TFB1M,BRD9,RRM2B
280,SLC30A9,IKZF2,FAS,RUNX3,GRN,OSBPL5,IGF1,SAMD4A,DERA,BRD9,RABEP1,SNX1,ZNF800
281,MTMR11,GRN,RNASET2,MRE11A,FAM13B,AQR,SLC38A5,MRE11A,STRAP,SNX1,HMGB3,TBPL1,SNX29
282,COX15,FAM13B,CD44,PLEKHB1,CENPQ,FHL1,RALBP1,SERPINB1,DEF6,TBPL1,NUP160,BCLAF1,MRPS10
283,CCDC88C,SARS,AGPAT4,SERPINB1,SARS,RTFDC1,RUFY3,SPAST,PLEKHO1,BCLAF1,BAK1,SLC39A9,RSF1
284,YAF2,RANBP3,BTN3A1,SPAST,RANBP3,SLC45A4,CNTN1,NRXN3,GCLM,SLC39A9,GRN,TFB1M,CELF2
285,ZMYND11,ARID4A,MIPEP,OSBPL5,ARID4A,RNF10,SLC11A1,OSBPL5,UBR2,TFB1M,FAM13B,RABEP1,FAM120A
286,WAS,TSSC1,IFNGR1,AQR,TSSC1,ZNF839,WWTR1,AQR,DEPDC1,RABEP1,ARHGAP31,HMGB3,R3HDM1
287,BID,PNPLA6,B4GALT7,FHL1,PNPLA6,ZDHHC6,AGPS,FHL1,CCDC28A,NUP160,CENPQ,NUP160,ERCC8
288,MATR3,IFT88,SH2D2A,RTFDC1,IFT88,GRAMD1B,CXORF56,RTFDC1,RRAGD,BAK1,SARS,BAK1,ADAMTS6
289,NPC1L1,ALG1,VRK2,SLC45A4,ALG1,RNH1,ATP1A2,SLC45A4,HSF2,IKZF2,RANBP3,GRN,H6PD
290,XYLT2,ZCCHC8,TNFRSF1B,RNF10,ZCCHC8,NDUFS1,TTC27,RNF10,PHF20,GRN,ARID4A,FAM13B,TNFRSF9
291,RGPD5,ABCF2,VEZT,ZNF839,ABCF2,RB1CC1,ZNF582,ZNF839,NR1H3,FAM13B,TSSC1,ARHGAP31,RCN1
292,NUDCD3,CHPF2,POU2F2,ZDHHC6,CHPF2,ERP44,PHLDB1,ZDHHC6,TYMP,CENPQ,PNPLA6,CENPQ,ARID1B
293,CHDH,LRRC7,BRD9,GRAMD1B,LRRC7,ALAS1,MARCO,RNH1,NCAPH2,SARS,IFT88,SARS,NEDD4L
294,IL20RA,FUT8,SNX1,RNH1,FUT8,BIRC3,SNAI2,NDUFS1,TOMM34,RANBP3,ALG1,RANBP3,HEXB
295,GLT8D1,UBA6,TBPL1,NDUFS1,UBA6,AKAP11,CD74,RB1CC1,SEC63,ARID4A,ZCCHC8,ARID4A,JKAMP
296,ATP2C1,ATP6V0A1,BCLAF1,RB1CC1,PIAS1,GLRX2,HGF,ERP44,KPNA6,TSSC1,ABCF2,TSSC1,DKK3
297,RALBP1,PIAS1,SLC39A9,ERP44,SLC4A7,SNAPC1,ZRANB1,ALAS1,VIM,PNPLA6,CHPF2,PNPLA6,NFE2L3
298,RUFY3,SLC4A7,TFB1M,ALAS1,APBA2,DERA,NCDN,BIRC3,FAS,IFT88,FUT8,IFT88,MCUR1
299,CNTN1,APBA2,RABEP1,BIRC3,MAP2K3,STRAP,ADGRA2,AKAP11,RNASET2,ALG1,UBA6,ALG1,LIMA1
300,SLC11A1,MAP2K3,HMGB3,AKAP11,TMSB10,DEF6,ZFP64,GLRX2,CD44,ZCCHC8,GAB2,ZCCHC8,TNIP3
301,WWTR1,TMSB10,NUP160,GLRX2,ASTE1,PLEKHO1,MNAT1,SNAPC1,AGPAT4,ABCF2,ATP6V0A1,ABCF2,MAPK9
302,AGPS,ASTE1,BAK1,SNAPC1,RNF19A,GCLM,SAMD4A,DERA,SLAMF7,CHPF2,PIAS1,CHPF2,HERPUD1
303,CXORF56,RNF19A,IKZF2,DERA,PEX3,UBR2,RUNX3,STRAP,BTN3A1,LRRC7,SLC4A7,FUT8,PIK3CB
304,TTC27,PEX3,GRN,STRAP,GABARAPL2,CCDC28A,MRE11A,DEF6,MIPEP,FUT8,MAP2K3,UBA6,CYBA
305,ZNF582,GABARAPL2,FAM13B,DEF6,SH3YL1,RRAGD,PLEKHB1,PLEKHO1,PRKCH,UBA6,TMSB10,GAB2,HEBP2
306,VSIG2,SH3YL1,ARHGAP31,PLEKHO1,FAM136A,HSF2,SERPINB1,GCLM,IFNGR1,PIAS1,ASTE1,ATP6V0A1,SIKE1
307,PHLDB1,FAM136A,CENPQ,GCLM,VCL,PHF20,SPAST,UBR2,B4GALT7,SLC4A7,RNF19A,PIAS1,TTC17
308,MARCO,VCL,SARS,UBR2,DAPK2,NR1H3,NRXN3,EHD2,SH2D2A,APBA2,PEX3,SLC4A7,FOXN3
309,PRDM11,DAPK2,RANBP3,DEPDC1,NSMAF,TYMP,OSBPL5,CCDC28A,VRK2,MAP2K3,GABARAPL2,MAP2K3,AKR7A2
310,SNAI2,NSMAF,ARID4A,CCDC28A,ADSS,NCAPH2,AQR,HSF2,TNFRSF1B,TMSB10,SH3YL1,TMSB10,MRTO4
311,CD74,ADSS,TSSC1,RRAGD,RFC1,TOMM34,CPS1,PHF20,VEZT,ASTE1,FAM136A,ASTE1,USE1
312,ZRANB1,TIMP2,PNPLA6,HSF2,TBC1D23,SEC63,FHL1,NR1H3,POU2F2,RNF19A,VCL,RNF19A,THRAP3
313,NCDN,RFC1,IFT88,PHF20,CUL3,KPNA6,RTFDC1,TYMP,BRD9,PEX3,DAPK2,PEX3,PHPT1
314,ZFP64,TBC1D23,ALG1,NR1H3,ZZZ3,VIM,RNF10,NCAPH2,SNX1,GABARAPL2,NSMAF,GABARAPL2,ARID4B
315,MNAT1,CUL3,ZCCHC8,TYMP,RPL26L1,FAS,ZNF839,TOMM34,TBPL1,SH3YL1,ADSS,SH3YL1,OPN3
316,SAMD4A,ZZZ3,ABCF2,NCAPH2,NSUN2,RNASET2,ZDHHC6,SEC63,ARNTL2,FAM136A,STAP1,FAM136A,SDCCAG8
317,RUNX3,RPL26L1,CHPF2,TOMM34,FBXO42,CD44,GRAMD1B,KPNA6,BCLAF1,VCL,TIMP2,VCL,HHAT
318,MRE11A,NSUN2,FUT8,SEC63,MRI1,AGPAT4,RNH1,VIM,SLC39A9,DAPK2,RFC1,NSMAF,KIF1B
319,PLEKHB1,FBXO42,UBA6,KPNA6,AGA,SLAMF7,NDUFS1,RNASET2,TFB1M,NSMAF,TBC1D23,ADSS,TBC1D22A
320,SERPINB1,MRI1,GAB2,VIM,PI4K2B,BTN3A1,RB1CC1,CD44,RABEP1,ADSS,CUL3,TIMP2,SYNE2
321,SPAST,AGA,ATP6V0A1,FAS,BOD1L1,MIPEP,ERP44,AGPAT4,HMGB3,STAP1,ZZZ3,RFC1,RELT
322,NRXN3,PI4K2B,PIAS1,RNASET2,MAT2B,PRKCH,ALAS1,BTN3A1,NUP160,TIMP2,RPL26L1,TBC1D23,NOP58
323,OSBPL5,BOD1L1,SLC4A7,CD44,CLEC16A,IFNGR1,BIRC3,MIPEP,BAK1,RFC1,NSUN2,CUL3,SZRD1
324,AQR,MAT2B,MAP2K3,AGPAT4,SKIV2L2,B4GALT7,AKAP11,PRKCH,IKZF2,TBC1D23,FBXO42,ZZZ3,CUL1
325,CPS1,CLEC16A,TMSB10,SLAMF7,ZFYVE16,SH2D2A,GLRX2,IFNGR1,GRN,CUL3,MRI1,RPL26L1,CYFIP2
326,FHL1,MSR1,ASTE1,BTN3A1,PNKP,VRK2,SNAPC1,B4GALT7,FAM13B,ZZZ3,METTL1,NSUN2,TAB2
327,RTFDC1,SKIV2L2,RNF19A,MIPEP,SPDL1,TNFRSF1B,DERA,SH2D2A,ARHGAP31,RPL26L1,AGA,FBXO42,GINM1
328,SLC45A4,ZFYVE16,PEX3,PRKCH,STAU2,VEZT,STRAP,VRK2,CENPQ,NSUN2,PI4K2B,MRI1,EIF2AK2
329,RNF10,PNKP,GABARAPL2,IFNGR1,PHF23,POU2F2,DEF6,TNFRSF1B,SARS,FBXO42,BOD1L1,AGA,USP36
330,ZNF839,PHLPP2,SH3YL1,B4GALT7,INPP4A,BRD9,PLEKHO1,VEZT,RANBP3,MRI1,MAT2B,PI4K2B,KMT2C
331,ZDHHC6,SPDL1,FAM136A,SH2D2A,RAB27B,SNX1,GCLM,POU2F2,ARID4A,AGA,TRIO,BOD1L1,PUM2
332,GRAMD1B,STAU2,VCL,VRK2,PSMA4,TBPL1,UBR2,BRD9,TSSC1,PI4K2B,CLEC16A,MAT2B,MRPL43
333,RNH1,PHF23,DAPK2,TNFRSF1B,LSG1,ARNTL2,EHD2,SNX1,PNPLA6,BOD1L1,SKIV2L2,TRIO,HPF1
334,NDUFS1,INPP4A,NSMAF,VEZT,PARP3,BCLAF1,CCDC28A,TBPL1,IFT88,MAT2B,ZFYVE16,VCAN,ZFR
335,RB1CC1,RAB27B,ADSS,POU2F2,THAP3,SLC39A9,RRAGD,ARNTL2,ALG1,CLEC16A,FAM65A,CLEC16A,TRAF1
336,ERP44,PSMA4,STAP1,BRD9,TDP1,TFB1M,HSF2,BCLAF1,ZCCHC8,MSR1,PNKP,MSR1,RC3H2
337,ALAS1,LSG1,TIMP2,SNX1,MED17,RABEP1,PHF20,SLC39A9,ABCF2,SKIV2L2,PHLPP2,SKIV2L2,TRAF3IP2
338,BIRC3,PARP3,RFC1,TBPL1,RETSAT,HMGB3,HSD17B6,TFB1M,CHPF2,ZFYVE16,SPDL1,ZFYVE16,DCBLD2
339,AKAP11,THAP3,TBC1D23,ARNTL2,CAPG,NUP160,NR1H3,RABEP1,LRRC7,FAM65A,STAU2,FAM65A,GDI2
340,GLRX2,TDP1,CUL3,BCLAF1,AP2S1,BAK1,TYMP,HMGB3,FUT8,PNKP,PQLC2,PNKP,PRDM1
341,SNAPC1,MED17,ZZZ3,SLC39A9,ADAM28,IKZF2,NCAPH2,NUP160,UBA6,SPDL1,CTNS,SPDL1,ATG5
342,DERA,RETSAT,RPL26L1,TFB1M,DCUN1D1,GRN,TOMM34,BAK1,GAB2,STAU2,PHF23,STAU2,PITHD1
343,STRAP,CAPG,NSUN2,RABEP1,JADE2,FAM13B,SEC63,GRN,ATP6V0A1,PQLC2,INPP4A,PQLC2,MTA3
344,ABCC2,AP2S1,FBXO42,HMGB3,LCP2,ARHGAP31,KPNA6,FAM13B,PIAS1,CTNS,PSMA4,CTNS,ATP11B
345,DEF6,DCUN1D1,MRI1,NUP160,CTNNA1,CENPQ,VIM,ARHGAP31,SLC4A7,PHF23,LSG1,PHF23,CDK14
346,PLEKHO1,JADE2,METTL1,BAK1,HSPA5,SARS,FAS,CENPQ,APBA2,INPP4A,PARP3,INPP4A,SEC61A1
347,GCLM,LCP2,AGA,IKZF2,GEMIN8,RANBP3,RNASET2,SARS,MAP2K3,RAB27B,THAP3,PSMA4,PPP1R12A
348,UBR2,TRIT1,PI4K2B,GRN,OFD1,ARID4A,CD44,RANBP3,TMSB10,PSMA4,TDP1,LSG1,CROCC
349,EHD2,CTNNA1,BOD1L1,FAM13B,GPM6B,TSSC1,AGPAT4,ARID4A,ASTE1,LSG1,AIFM2,PARP3,POLR3E
350,CCDC28A,PHKA2,MAT2B,ARHGAP31,WDR37,PNPLA6,SLAMF7,TSSC1,RNF19A,THAP3,MED17,THAP3,ZC3H11A
351,RRAGD,HSPA5,TRIO,CENPQ,YTHDC2,IFT88,BTN3A1,PNPLA6,PEX3,TDP1,RETSAT,TDP1,RIOK2
352,HSF2,GEMIN8,CLEC16A,SARS,ATP6V1H,ALG1,MIPEP,IFT88,GABARAPL2,MED17,CAPG,SPATA7,YIPF1
353,PHF20,OFD1,MSR1,RANBP3,POLR2B,ZCCHC8,PRKCH,ALG1,SH3YL1,RETSAT,AP2S1,MED17,PARP12
354,HSD17B6,GPM6B,CDH1,ARID4A,FAM214A,ABCF2,IFNGR1,ZCCHC8,FAM136A,CAPG,ADAM28,RETSAT,MXD1
355,NR1H3,WDR37,SKIV2L2,TSSC1,ARAP2,CHPF2,B4GALT7,ABCF2,VCL,AP2S1,DCUN1D1,CAPG,CDK17
356,TYMP,YTHDC2,ZFYVE16,PNPLA6,TPR,LRRC7,SH2D2A,CHPF2,DEPDC1B,ADAM28,JADE2,AP2S1,DNAJC25
