B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	VPS28	NA	GADD45A	PSMA1	RP11-14N7.2	NA	NA	NA	NA	NA	SELT
NA	NA	HTATSF1	NA	TAGLN2	PSMA2.1	H1F0	NA	NA	NA	NA	NA	NDUFA8
NA	NA	GOLT1B	NA	SLC7A8	PSMA3	WAC	NA	NA	NA	NA	NA	CRLS1
NA	NA	DDX21	NA	HMGB2	PSMA4	TACC1	NA	NA	NA	NA	NA	TPT1
NA	NA	MT-ND2	NA	BTN3A2	PSMA5	C16orf80	NA	NA	NA	NA	NA	DYNC1LI2
NA	NA	DHX36	NA	RPL37	PSMB1	PTEN	NA	NA	NA	NA	NA	CD2
NA	NA	GIMAP4	NA	SGK1	PSMB10	ADSS	NA	NA	NA	NA	NA	HSPB11
NA	NA	RPL37A	NA	COL18A1	PSMB3	ANXA1	NA	NA	NA	NA	NA	DDX5
NA	NA	MRPL43	NA	LARP7	PSMB6	DRAP1	NA	NA	NA	NA	NA	CST7
NA	NA	CCNH	NA	MARCO	PSMB8	EFNA1	NA	NA	NA	NA	NA	MYC
NA	NA	BTG3	NA	SNCA	PSMB9	ETS1	NA	NA	NA	NA	NA	TPST2
NA	NA	MAZ	NA	RBM6	PSMC1	MMP19	NA	NA	NA	NA	NA	LTB
NA	NA	FNDC3A	NA	PGF	PSMC2	JAK1	NA	NA	NA	NA	NA	CALM3
NA	NA	VARS	NA	PIM3	PSMC3	DBN1	NA	NA	NA	NA	NA	CCNG1
NA	NA	UBE2H	NA	RP6-99M1.2	PSMC4	SELT	NA	NA	NA	NA	NA	PREB
NA	NA	KLRD1	NA	P2RY6	PSMC5	POLD4	NA	NA	NA	NA	NA	NDUFA9
NA	NA	STAT2	NA	ATXN7L3B	PSMD13	TAX1BP3	NA	NA	NA	NA	NA	NA
NA	NA	SPCS2	NA	SERPINB1	PSMD4	SUSD2	NA	NA	NA	NA	NA	NA
NA	NA	SHFM1	NA	RSAD2	PSMD6	EDIL3	NA	NA	NA	NA	NA	NA
NA	NA	TXN2	NA	POSTN	PSME1	RELN	NA	NA	NA	NA	NA	NA
NA	NA	NDUFB3	NA	CDKN1A	PSME2	FAM49B	NA	NA	NA	NA	NA	NA
NA	NA	C12orf75	NA	USP13	PSMG2	CYB5B	NA	NA	NA	NA	NA	NA
NA	NA	GPBP1L1	NA	FAM43A	PSMG3	FRG1	NA	NA	NA	NA	NA	NA
NA	NA	MFHAS1	NA	RPL21	PTGES	HSD17B11	NA	NA	NA	NA	NA	NA
NA	NA	ZCCHC11	NA	EPAS1	PTGR1	RAI14	NA	NA	NA	NA	NA	NA
NA	NA	PDCD5	NA	MID1	PTK2	TNFRSF14	NA	NA	NA	NA	NA	NA
NA	NA	LY9	NA	MYC	PTMS	NDUFB3	NA	NA	NA	NA	NA	NA
NA	NA	KIAA0232	NA	COL4A2	PTOV1	SOX17	NA	NA	NA	NA	NA	NA
NA	NA	HBP1	NA	PPP2CB	PTP4A1	LSM2	NA	NA	NA	NA	NA	NA
NA	NA	SMC3	NA	BDKRB2	PTPN12	EPC1	NA	NA	NA	NA	NA	NA
NA	NA	TMF1	NA	MARCH2	PTPN6	RPLP2	NA	NA	NA	NA	NA	NA
NA	NA	MAP1S	NA	RPS27L	PTPN7	F8	NA	NA	NA	NA	NA	NA
NA	NA	TSG101	NA	IER2	PTPRC	PPP4C	NA	NA	NA	NA	NA	NA
NA	NA	PGAM1	NA	GIMAP2	PTPRCAP	BCAP31	NA	NA	NA	NA	NA	NA
NA	NA	TMSB10	NA	AK3	PTPRF	GPR182	NA	NA	NA	NA	NA	NA
NA	NA	COPA	NA	TMEM9B	PTRF	CRBN	NA	NA	NA	NA	NA	NA
NA	NA	CRK	NA	MYCT1	PTTG1IP	LHFP	NA	NA	NA	NA	NA	NA
NA	NA	ARHGAP4	NA	CD40	PUM1	FAM115A	NA	NA	NA	NA	NA	NA
NA	NA	NDUFB6	NA	DDIT4	PXMP2	DCBLD1	NA	NA	NA	NA	NA	NA
NA	NA	RAB11FIP1	NA	KCNK6	PYHIN1	ITPRIP	NA	NA	NA	NA	NA	NA
NA	NA	C7orf55-LUC7L2	NA	ICAM2	PYURF	SERTAD3	NA	NA	NA	NA	NA	NA
NA	NA	RPL13A	NA	C18orf32	QDPR	PTGFRN	NA	NA	NA	NA	NA	NA
NA	NA	TMA16	NA	HTR2B	QSOX1	PPP1R10	NA	NA	NA	NA	NA	NA
NA	NA	STMN1	NA	SYT11	RAB13	GLIPR1	NA	NA	NA	NA	NA	NA
NA	NA	CCT2	NA	MYL9	RAB25	PTPRC	NA	NA	NA	NA	NA	NA
NA	NA	LSM2	NA	CPQ	RAB27A	MRPL51	NA	NA	NA	NA	NA	NA
NA	NA	CAMK1	NA	ADD3	RAB34	IL6	NA	NA	NA	NA	NA	NA
NA	NA	GGA1	NA	EIF5A	RAB5C	GPC3	NA	NA	NA	NA	NA	NA
NA	NA	SHKBP1	NA	IFI44	RAB7A	CALCOCO2	NA	NA	NA	NA	NA	NA
NA	NA	BIN1	NA	RGS3	RAB8A	YBX3	NA	NA	NA	NA	NA	NA
NA	NA	MORF4L1	NA	SC5D	RAC1	P2RX4	NA	NA	NA	NA	NA	NA
NA	NA	PGK1	NA	GPX3	RAC2	KDR	NA	NA	NA	NA	NA	NA
NA	NA	CSF1	NA	MGST2	RAD23A	WDR41	NA	NA	NA	NA	NA	NA
NA	NA	ALB	NA	PRKCA	RALA	CREM	NA	NA	NA	NA	NA	NA
NA	NA	RASGEF1B	NA	CTSS	RALBP1	SFPQ	NA	NA	NA	NA	NA	NA
NA	NA	TSR3	NA	SLC27A3	RALY	IL8	NA	NA	NA	NA	NA	NA
NA	NA	CNP	NA	FAM101B	RAMP1	NEXN	NA	NA	NA	NA	NA	NA
NA	NA	TMEM109	NA	GNG11	RAP1A	WIPF1	NA	NA	NA	NA	NA	NA
NA	NA	SLC25A26	NA	BTNL9	RAP1B	CLEC14A	NA	NA	NA	NA	NA	NA
NA	NA	C16orf54	NA	FGG	RAP2B	GPR116	NA	NA	NA	NA	NA	NA
NA	NA	YPEL5	NA	CCDC3	RARRES3	EPS15	NA	NA	NA	NA	NA	NA
NA	NA	SNRPD2	NA	ICAM1	RBBP4	TM2D1	NA	NA	NA	NA	NA	NA
NA	NA	PDIA6	NA	NFATC1	RBBP7	IMP3	NA	NA	NA	NA	NA	NA
NA	NA	ITM2B	NA	CCL20	RBFOX2	CPE	NA	NA	NA	NA	NA	NA
NA	NA	RAB4B	NA	LRRC32	RBM3	YTHDC1	NA	NA	NA	NA	NA	NA
NA	NA	GZMH	NA	GNG12	RBM8A	CD55	NA	NA	NA	NA	NA	NA
NA	NA	KTI12	NA	QARS	RBMS1	FNDC1	NA	NA	NA	NA	NA	NA
NA	NA	TOB1	NA	RPL28	RBMX	C5orf46	NA	NA	NA	NA	NA	NA
NA	NA	MRPL12	NA	VTN	RBP4	CILP	NA	NA	NA	NA	NA	NA
NA	NA	MALAT1	NA	HECW2	RCN1	TWIST1	NA	NA	NA	NA	NA	NA
NA	NA	DGCR6L	NA	ARHGAP29	RCN2	PRDX5	NA	NA	NA	NA	NA	NA
NA	NA	IFITM1	NA	PDE2A	REEP3	S100P	NA	NA	NA	NA	NA	NA
NA	NA	CCND3	NA	CSRP2	REXO2	ENC1	NA	NA	NA	NA	NA	NA
NA	NA	RGS10	NA	NDUFB2	RGN	RPL29	NA	NA	NA	NA	NA	NA
NA	NA	ZNF683	NA	MT1E	RGS1	PSMB8	NA	NA	NA	NA	NA	NA
NA	NA	RFC5	NA	FBLN5	RHOA	SAV1	NA	NA	NA	NA	NA	NA
NA	NA	TBC1D10C	NA	RPL34	RHOB	LTBP1	NA	NA	NA	NA	NA	NA
NA	NA	SYTL3	NA	DOCK1	RHOC	TMED7	NA	NA	NA	NA	NA	NA
NA	NA	PSAP	NA	RPL38	RHOD	NFIX	NA	NA	NA	NA	NA	NA
NA	NA	ZNF800	NA	IFI35	RHOG	SLIT2	NA	NA	NA	NA	NA	NA
NA	NA	SFT2D1	NA	STC1	RHOH	RTFDC1	NA	NA	NA	NA	NA	NA
NA	NA	GATA3	NA	TNFRSF4	RHOV	FHL3	NA	NA	NA	NA	NA	NA
NA	NA	ACP5	NA	HLA-DMA	RNASE4	IFI27L2	NA	NA	NA	NA	NA	NA
NA	NA	TESC	NA	HSPH1	RNASEH2B	ANXA6	NA	NA	NA	NA	NA	NA
NA	NA	DAZAP2	NA	ATP1B1	RNASEH2C	UBE2L6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NOSTRIN	RND3	SC5D	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HNRNPA1	RNF145	DUSP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CARD16	RNF167	TMEM126B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TBC1D15	RNF5	HAS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYO6	RORA	CXXC5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HPX	RP11-532F12.5	HDAC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MALAT1	RP6-109B7.3	MAGED2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SNCG	RPA2	RAB8B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PTPRG	RPIA	CPXM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HNRNPA2B1	RPL21	RBM5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PTPRN2	RPL22L1	SPOP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TSPAN5	RPL23	EEF1G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD93	RPL30	PGF	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTSO	RPL35	NID1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HERC2	RPL35A	ZFYVE21	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ADH1B	RPL37	CCNH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GPM6A	RPL37A	VASN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD44	RPL39	SNAPC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SCGB3A1	RPL7A	CCDC74A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PNRC2.1	RPLP2	SEC62	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SMAP2	RPS11	RAC2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DENND4C	RPS16	RIPK2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NXPE3	RPS19	CDH5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BLVRB	RPS20	VPS29	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CHCHD10	RPS21	YWHAH	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD82	RPS24	WIPF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RPL5	RRAGA	FEZ1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	UBC	RRAS	RPS4X	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	APOL6	RRBP1	IFNGR1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BMX	RRM2	CSRNP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PITHD1	RTCB	SFRP4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NMRK1	RTFDC1	MEDAG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PSEN2	RTN4	CTSA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CYP2E1	RWDD1	SAR1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DAAM1	S100A10	LRRC59	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TAGLN	S100A11	TIMM13	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RAB11FIP1	S100A13	ANXA2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GFOD1	S100A14	B4GALT5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NID1	S100A16	GYPC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SERPINB9	S100A2	TM2D2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BAALC	S100A6	EPHX1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ME2	S100A9	RBM27	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FXYD5	S100P	RAP2B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LGALS8	SAA4	NAMPT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ELN	SAE1	EFNB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MX1	SAMD3	HOTAIRM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	STAT1	SAP18	IL32	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DCTN6	SASH3	FXYD6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SCAMP1	SAT2	MRPL22	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CMTM8	SCAMP4	PKDCC	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	S100A10	SCAND1	TMEM176B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARL6IP1	SCGN	HSPA1A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LILRB5	SCNN1A	CCNL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PNPT1	SCP2	NOMO1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	P2RX4	SDC1	FOXN3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCRL2	SDC4	UPF3B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	VASH1	SDCBP	TMEM2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IL33	SDF4	SPP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DDX42	SDHA	PLOD3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LINC00152	SDHB	XAF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GUSB	SDHC	BCL7C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CNST	SDHD	KLF3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LTC4S	SEC11C	HOXB2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KLHDC8B	SEC31A	HMGN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CXADR	SELK	TGM2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CRYL1	SELL	PIP4K2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SEMA3G	SELT	BDKRB1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IFITM2	SEMA4B	DLGAP4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CPNE2	SEPHS2	RPL36A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NDUFA4	SEPP1	CD97	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCNG1	SEPT1	TOX4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FBLN2	SEPT6	EIF4A2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HIST1H2BK	SEPT7	SEC61G	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DSTN	SEPT9	NKG7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IFIT3	SEPW1	SELM	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RHOB	SERINC2	ZFP36L2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TF	SERPINA1	AP2S1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM102A	SERPINB5	SLIT3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AGXT	SERPINB6	RNASET2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CRBN	SERPINH1	GUCY1A3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RP11-557H15.4	SET	CDK11A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	AC010642.1	SF3B2	SNRK	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GPR116	SF3B5	PTP4A1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MRC1L1	SFN	LIF	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IL6	SFPQ	ADD3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GBP3	SGMS2	GLIPR2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GLO1	SH2D1A	KLF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DNAJB4	SH2D2A	JMJD6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ART4	SH3BGRL3	NBPF10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HES4	SH3KBP1	BSG	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RASGEF1B	SH3YL1	TMEM9B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FOXN3	SHARPIN	ARPC1B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAIM3	SHC1	ATP5D	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM26F	SHKBP1	HEYL	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCDC88A	SHMT1	DBI	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CDC42EP4	SIGIRR	PLAU	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SNRK	SIK1	C19orf66	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PTOV1	SIT1	N4BP2L2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	WWP1	SIVA1	RBMS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HRSP12	SKA2	SMNDC1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NPR1	SKAP1	ITGA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TAPSAR1	SKAP2	RRBP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD79B	SLA	PARP14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PCDH12	SLC16A3	RPS23	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYO10	SLC20A1	CARD16	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KLF11	SLC25A11	JTB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PIP4K2A	SLC25A37	SAA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MMRN1	SLC25A4	TCEAL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SOD2	SLC2A1	RPL14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ROBO1	SLC2A2	BIN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MGME1	SLC2A3	NUMB	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TIMP3	SLC39A1	CCND3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NREP	SLC39A4	PMF1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAT2B	SLC9A3R1	PGM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SNAI1	SLC9A3R2	ANKRD17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD22	SLCO3A1	BEX4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GALNT1	SLPI	NDUFA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SMPDL3A	SMAD3	FOS	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RARRES3	SMARCB1	PLAGL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SLC43A2	SMC1A	NDUFA13	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EMC2	SMC2	RORA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NTS	SMC3	CCNG1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RRAGC	SMDT1	DDX17	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	KIAA1033	SMIM14	EIF3I	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	BEX5	SMIM19	ICA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SERPING1	SMIM22	SNRNP35	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM49A	SNCG	VMP1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SMAD7	SNHG8	KPNA4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MARCKSL1	SNRNP25	TNFSF13B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SNORD3A	SNRNP40	CNDP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ALDH6A1	SNRPA	AGRN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PPFIBP1	SNRPB2	TSPO	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CBLB	SNRPD1	DDX6	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CLU	SNX17	RPS6KA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCL21	SNX2	RYBP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MYL6	SNX3	KLF9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CCL2	SOD1	S100A9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ANKRD55	SORD	EEA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAN1A1	SOX4	COBLL1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HS3ST3B1	SOX9	TMEM50B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SLC35A1	SPAG7	RP11-304L19.5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SCN1B	SPAG9	CXCR4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TP53I11	SPATS2L	BACE2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DNAJA4	SPCS2	ACAT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GCA	SPCS3	S100A16	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C10orf10	SPINT1	RPL4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	C1orf21	SPINT2	PPP1R2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SRPX	SPN	PSMA3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LMO4	SPRYD4	HLA-DQA1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TNFAIP3	SPTBN1	CCL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RNASET2	SRCAP	EEF2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD69	SRGN	CHN1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NKG7	SRP9	CST2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TRIM22	SRRM1	CXCL3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ARL15	SRRM2	GNLY	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HSD17B14	SRSF2	IDI1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FLT4	SRSF3	MMRN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	WIPI1	SRSF5	RPL22L1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HAMP	SRSF7	MAX	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CHST7	SRSF9	HTATIP2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SRGAP2	SS18L2	FBLN5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ABHD5	STK24	PERP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	H3F3B	STK3	MEIS2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ODF3B	STK4	DMKN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PTGS2	STMN1	SYNE2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CAT	SUCLG1	EIF5A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IQGAP2	SUCLG2	TSHZ2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DGKE	SULF2	GBP4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MAP7D3	SULT1A1	RAN	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	GALNT14	SULT2A1	RPS14	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TBXA2R	SUMO1	EHD3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	RCAN1	SUMO3	DDIT4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	DUSP2	SUN1	PSMB10	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZSCAN18	SUPT4H1	SPINT1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SLC7A7	SVIL	RAPGEF5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MT1F	SYNGR2	PIM3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HTATIP2	SYT8	FMOD	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	H3F3C	TACSTD2	ANKRD28	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HLA-DQA1	TAF10	ID1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TIAM1	TAF12	COPG1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ZNF117	TAF1D	CNN2	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TLR4	TAF7	PPAP2A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CPED1	TANK	RBM7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	LEPREL1	TAP1	TRPS1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CNKSR3	TAPSAR1	SIGIRR	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMEM88	TATDN1	CEACAM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	FAM167B	TAX1BP3	PGAM1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	IFITM3	TBC1D10C	ST5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HLA-DQB1	TCEA3	LAMP5	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	SGCE	TCEAL4	PLTP	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NCKIPSD	TCF25	EIF2AK4	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CPM	TCF7L2	ABI3	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CD68	TCP1	RPL27A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TXNIP	TDO2	SERPINB9	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	CTGF	TECR	FAM43A	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	EMID1	TERF2IP	VPS37B	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	HYAL2	TFAP2A	EIF2S1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TOX2	TFG	CAT	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	PXMP2	TGFB1	GAS7	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	TMEM2	TGFBI	CTNND1	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	ERV3-1	TGM2	NSFL1C	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	MT-CO1	THEM6	SERPINE2	NA	NA	NA	NA	NA	NA
